Date&Time,TOTAL_THM_ONLY|P,TOTAL_NLDC_HYD|P,TOTAL_NLDC_GAS|P,TOTAL_NLDC_NPC|P,ALL_INDIA_WIND|P,ALL_IND_SOLAR|P,Solar,Solar+Wind,Total,NLDC_DEMAND|P,INTRA_SYSTEM_INTERTIA|P,ER_Total_Inertia|P,SYS_IN|P,SPARE 05
2023-05-23 17:00:00,151539.33854166666,16832.671484375,5418.108707682291,4238.39140625,12378.569498697916,14328.08720703125,14328.08720703125,26706.656705729165,204735.16684570312,202157.21770833334,3.4125301837921143,3.621985912322998,2.412997722625733,2.8873118559519444
2021-11-28 04:40:00,102523.3203125,8153.44921875,3099.64794921875,5305.234375,3400.2841796875,-14.37760066986084,0.0,3400.2841796875,122481.93603515624,121547.5546875,0.0,0.0,0.0,0.0
2023-02-28 10:00:00,144994.73333333334,13601.374251302082,2806.231551106771,4929.417740885417,3795.790771484375,32446.614973958334,32446.614973958334,36242.40574544271,202574.16262207032,202484.2875,3.260585069656372,3.621985912322998,2.2395796378453574,10.486161231994627
2023-05-25 23:30:00,135620.20885416667,20873.3521484375,3296.199072265625,4288.787255859375,22576.433854166666,25.810454909006754,25.810454909006754,22602.244309075675,186680.79163980484,183264.21197916666,3.3920795281728107,3.621985912322998,2.2576868454615275,2.096840413411458
2022-03-12 23:15:00,137771.328125,12515.7216796875,2786.24609375,5708.486328125,2525.32080078125,5106.79931640625,5106.79931640625,7632.1201171875,166413.90234375,163925.171875,3.3043088912963867,3.621985912322998,3.2285306453704834,8.370295524597168
2022-08-03 13:15:00,117761.3125,28249.869140625,2480.71533203125,4476.21826171875,5336.5283203125,25162.41015625,25162.41015625,30498.9384765625,183467.0537109375,181584.40625,3.286500930786133,3.621985912322998,2.728307247161865,2.674727201461792
2023-08-29 01:45:00,149183.85729166667,30688.600846354166,5150.054215494792,4770.131038411459,17088.6654296875,21.455712509155273,21.455712509155273,17110.121142196655,206902.76453412374,205213.65885416666,3.372606039047241,3.621985912322998,2.824968099594116,1.9850598573684688
2023-07-11 01:05:00,138690.828125,18462.575716145835,2343.5617106119794,4346.940787760416,13956.17958984375,140.20977681477865,140.20977681477865,14096.389366658528,177940.29570617675,175022.65052083333,3.355178117752075,3.621985912322998,2.768653392791748,2.235152006149292
2023-08-29 06:55:00,150545.4453125,33049.321875,5008.370930989583,4779.991829427084,10189.616373697916,2647.214388020833,2647.214388020833,12836.83076171875,206219.96070963543,204157.92708333334,3.3804059982299806,3.621985912322998,2.859506607055664,1.9851408481597899
2022-01-18 19:30:00,135278.828125,18863.53515625,3207.43359375,5065.0009765625,3279.1083984375,398.7464294433594,398.7464294433594,3677.8548278808594,166092.65267944336,167305.625,3.409142017364502,3.621985912322998,3.26815128326416,8.038361549377441
2023-08-16 11:15:00,146156.49791666667,31200.8296875,3775.1331461588543,5860.755680338541,9925.832845052084,37434.983723958336,37434.983723958336,47360.816569010414,234354.03299967447,230710.55520833333,3.399725914001465,3.621985912322998,2.619204521179199,1.9887936115264893
2023-09-27 10:00:00,133841.54583333334,21170.742057291667,2432.9056803385415,5993.929557291666,5951.652213541666,31995.897786458332,31995.897786458332,37947.55,201386.6731282552,199752.45364583333,3.3005800247192383,3.621985912322998,2.542399406433105,2.128171443939209
2023-05-04 12:35:00,114990.00208333334,11064.722819010416,2499.6005859375,5155.611214192709,671.1406005859375,37996.76458333333,37996.76458333333,38667.90518391927,172377.84188639323,170026.59479166666,3.221604108810425,3.621985912322998,2.3726086616516118,4.655177116394043
2022-10-14 08:35:00,110071.03619791666,24294.091015625,1921.9869262695313,5619.630826822917,2161.9051839192707,17737.088606770834,17737.088606770834,19898.993790690103,161805.73875732423,160139.05,3.1657632033030194,3.621985912322998,2.675282716751098,9.183771133422852
2022-07-30 03:30:00,117357.546875,30205.25,2664.24755859375,4481.76953125,6438.513671875,-63.28502655029297,0.0,6438.513671875,161147.32763671875,158436.203125,3.3869500160217285,3.621985912322998,2.6469204425811768,1.6736128330230713
2021-11-17 04:40:00,99762.9609375,8715.892578125,3243.61865234375,5104.10302734375,7897.36474609375,-16.14691925048828,0.0,7897.36474609375,124723.93994140624,123746.609375,0.0,0.0,0.0,0.0
2023-03-11 17:45:00,147462.04739583333,14036.420638020832,2001.2435384114583,5400.4130859375,4045.762939453125,5466.793229166667,5466.793229166667,9512.556168619793,178412.6808268229,177303.965625,3.3468504746754966,3.621985912322998,2.554870780309041,4.164944775899252
2022-07-07 01:00:00,133430.734375,25865.81640625,3178.9853515625,5390.05126953125,12269.900390625,-7.910487174987793,0.0,12269.900390625,180135.48779296875,177218.65625,3.3513078689575195,3.621985912322998,2.612810611724853,1.674838304519653
2021-12-25 04:55:00,114873.6953125,5310.35302734375,2822.249755859375,5773.671875,2370.54833984375,-15.270475387573242,0.0,2370.54833984375,131150.51831054688,129974.6953125,3.1993067264556885,3.621985912322998,3.1590490341186523,3.578842878341675
2022-02-13 20:25:00,130093.0625,12346.8291015625,2978.765625,5245.8466796875,5201.7353515625,-3.765371799468994,0.0,5201.7353515625,155866.2392578125,155126.609375,3.2802600860595703,3.621985912322998,3.3702392578125,8.206941604614258
2021-09-11 14:05:00,89205.671875,24022.32421875,4016.36865234375,4874.1083984375,13498.4716796875,19601.25390625,19601.25390625,33099.7255859375,155218.19873046875,153069.90625,0.0,0.0,0.0,0.0
2023-11-26 14:55:00,126607.78359375,6059.544694010417,1824.2651936848958,5813.026123046875,8534.947298177083,13464.073763020833,13464.073763020833,21999.021061197916,162303.6406656901,162599.68072916666,3.285576105117798,3.621985912322998,2.518308401107788,3.2268757820129395
2022-10-21 22:15:00,114286.19036458334,24525.7169921875,2272.2310872395833,5853.948209635417,6156.963492838541,-47.47886238098145,61.949636967976886,6218.913129806519,153156.99978345234,152369.91354166667,3.295961141586304,3.621985912322998,2.7545932213465374,10.039321899414062
2021-11-02 19:50:00,114506.875,24594.748046875,3605.6591796875,5484.08251953125,5384.4052734375,-18.61079978942871,0.0,5384.4052734375,153575.77001953125,152477.359375,0.0,0.0,0.0,0.0
2022-10-19 07:05:00,124448.61354166667,25488.640234375,2165.7036295572916,5308.268294270833,2520.8300048828123,2938.7445068359375,2938.7445068359375,5459.57451171875,162870.80021158853,160594.3703125,3.281039603551229,3.621985912322998,2.434013605117798,9.183771133422852
2021-12-23 06:45:00,137598.765625,16923.283203125,3233.517333984375,5758.41943359375,731.1570434570312,1963.55908203125,1963.55908203125,2694.716125488281,166208.7017211914,162671.09375,3.376929998397827,3.621985912322998,3.0578744411468506,3.600324869155884
2023-01-22 23:25:00,122045.92604166667,5566.052376302084,2457.913191731771,5434.051904296875,9914.669889322917,-12.360934511820476,0.0,9914.669889322917,145418.6134033203,144621.20625,3.271450996398926,3.621985912322998,2.2216389179229736,9.206158638000488
2023-03-12 21:15:00,144572.14427083332,10719.99677734375,2082.193123372396,5584.179541015625,6515.061018880208,111.98038279215494,111.98038279215494,6627.0414016723635,169585.55511423748,168241.91614583333,3.336698055267334,3.621985912322998,2.090584421157837,4.141994158426921
2021-12-30 18:20:00,132669.265625,21751.197265625,3181.66357421875,5506.1474609375,8115.236328125,134.4648895263672,134.4648895263672,8249.701217651367,171357.97514343262,169871.59375,3.373901844024658,3.621985912322998,3.3302338123321533,8.287365913391113
2022-01-31 20:05:00,140404.203125,16056.912109375,3197.974609375,5034.412109375,3262.529541015625,14.367342948913574,14.367342948913574,3276.8968839645386,167970.39883708954,168210.625,3.3740389347076416,3.621985912322998,3.24226450920105,7.780535221099853
2022-04-04 08:20:00,143942.25,15545.7314453125,3047.1767578125,4768.037109375,2065.07177734375,13596.755859375,13596.755859375,15661.82763671875,182965.02294921875,180092.375,3.358604907989502,3.621985912322998,3.373534202575684,16.1414794921875
2023-08-01 18:10:00,123630.07291666667,31388.888216145835,3793.006656901042,5563.688248697917,25375.521940104165,4439.459635416667,4439.459635416667,29814.981575520833,194190.63761393228,193164.51666666666,3.3739078203837076,3.621985912322998,2.8127031326293945,1.9874615828196207
2023-12-27 10:55:00,151154.94270833334,8173.003173828125,2652.275113932292,4838.937630208334,4587.93818359375,37270.24296875,37270.24296875,41858.18115234375,208677.33977864584,209432.73489583333,3.3165098826090493,3.621985912322998,2.129183530807495,3.115749486287435
2023-07-06 21:50:00,141738.05572916666,28501.434895833332,3819.5057861328123,4464.94384765625,14742.11669921875,62.2388921101888,62.2388921101888,14804.355591328938,193328.295850118,191483.2453125,3.4133501052856445,3.621985912322998,2.8887767791748047,2.0373897552490234
